"","Variables","Accuracy","Kappa","AccuracySD","KappaSD"
"59",59,0.243333333333333,-0.466,0.201918238543945,0.386301140858491
"60",60,0.235,-0.488,0.206670232578409,0.409399759727954
"61",61,0.246666666666667,-0.466,0.196309487712608,0.396211652364475
"62",62,0.233333333333333,-0.478,0.20756661635908,0.414182253090967
"63",63,0.253333333333333,-0.442,0.225851876890108,0.44998412670417
"64",64,0.235,-0.48,0.206670232578409,0.409579176766613
"65",65,0.223333333333333,-0.496,0.205121500413713,0.406056193959729
"66",66,0.24,-0.472,0.192430450963588,0.385999894258207
"67",67,0.236666666666667,-0.464,0.204373940322618,0.402928058601239
"68",68,0.221666666666667,-0.504,0.199638278335771,0.391730853041332
"69",69,0.253333333333333,-0.454,0.203400791754034,0.39238153028159
"70",70,0.23,-0.488,0.196742173905844,0.382601193763673
"71",71,0.23,-0.486,0.213994511129727,0.425229829813555
"72",72,0.211666666666667,-0.52,0.197927183752074,0.374710772817257
"73",73,0.23,-0.484,0.229956123193326,0.451916553612026
"74",74,0.2,-0.54,0.201327791967711,0.398466448028039
"75",75,0.203333333333333,-0.532,0.212399102363469,0.426394470998346
"76",76,0.22,-0.524,0.185010877905356,0.37555944663819
"77",77,0.215,-0.542,0.194226473227761,0.379091287266844
"78",78,0.221666666666667,-0.506,0.187936943639564,0.374389298643505
"79",79,0.203333333333333,-0.546,0.196453822330822,0.385031141067624
"80",80,0.201666666666667,-0.54,0.213018741257628,0.424264068711929
"81",81,0.205,-0.54,0.194314015212327,0.373073281634303
"82",82,0.185,-0.58,0.195100125466172,0.380118134161431
"83",83,0.205,-0.54,0.187635060955497,0.359137288285044
"84",84,0.171666666666667,-0.598,0.211898073730729,0.408826094458517
"85",85,0.228333333333333,-0.494,0.208798799746335,0.411770691090097
"86",86,0.208333333333333,-0.528,0.232219157180133,0.446318272088428
"87",87,0.203333333333333,-0.562,0.207675833212919,0.378444722731425
"88",88,0.211666666666667,-0.524,0.229740314801077,0.431210919554291
"89",89,0.201666666666667,-0.542,0.202093633582787,0.394394394959551
"90",90,0.193333333333333,-0.566,0.193751600095799,0.3820513909229
"91",91,0.203333333333333,-0.538,0.233988390509923,0.451252225954146
"92",92,0.186666666666667,-0.572,0.201017818278147,0.396433075907485
"93",93,0.171666666666667,-0.592,0.194459830942897,0.381104731440756
"94",94,0.195,-0.552,0.21861370065341,0.41514197227317
"95",95,0.215,-0.534,0.215005405194936,0.410380609797733
"96",96,0.183333333333333,-0.572,0.222080453644972,0.436142646577086
"97",97,0.205,-0.538,0.202177769154119,0.41398511261806
